english_name,chinese_name,origin,insertion,innervation,blood_supply,actions,
Adductor magnus,內收大肌,Inferior ramus of pubis & ischial ramus(adductor part);Ischial tuberosity(Hamstring part),"Linea aspera, medial supracondylar line(adductor part);Adductor tubercle of femur(Hamstring part)",adductor part:Obturator nerve (posterior division);Hamstring part:Tibial division of sciatic nerve,Deep femoral artery;Obturator artery,Hip adduction; assists hip flexion(adductor part);Hip extension(Hamstring part),
Gracilis,股薄肌,Body and inferior ramus of pubis,Pes anserinus (medial tibia),Obturator nerve,Obturator artery；Medial circumflex femoral artery,Hip adduction; knee flexion; medial rotation of tibia,
Pectineus,恥骨肌,Pectineal line of pubis,Pectineal line of femur,Femoral nerve（major）；Obturator nerve（occasionally – dual innervation）,Medial circumflex femoral artery；Obturator artery,Hip adduction; hip flexion; medial rotation (slight),
Obturator externus,閉孔外肌,External surface of obturator membrane & surrounding pubis/ischium,Trochanteric fossa of femur,Obturator nerve (posterior division),Obturator artery；Medial circumflex femoral artery,External rotation of hip; stabilizes femoral head in acetabulum,
Gluteus maximus,臀大肌,"Posterior ilium, sacrum, coccyx","IT band, gluteal tuberosity",Inferior gluteal nerve,Superior & inferior gluteal arteries,"Hip extension, external rotation",
Gluteus medius,臀中肌,Ilium (between ant/post gluteal lines),Greater trochanter,Superior gluteal nerve,Superior gluteal artery,"Hip abduction, internal rotation",
Gluteus minimus,臀小肌,Ilium (between ant/inf gluteal lines),Greater trochanter,Superior gluteal nerve,Superior gluteal artery,"Hip abduction, internal rotation",
Tensor fascia lata,闊筋膜張肌,ASIS,IT band → lateral tibia,Superior gluteal nerve,Lateral circumflex femoral a.,"Hip flexion, abduction, IR",
Piriformis,梨狀肌,Anterior sacrum,Greater trochanter,Nerve to piriformis,"Superior gluteal a., internal pudendal a.",ER（<60°）、abduction（>90°）,
Biceps femoris (long head),股二頭肌長頭,Ischial tuberosity,Fibular head,Tibial sciatic nerve,Deep femoral & inferior gluteal a.,"Hip extension, knee flexion, ER",
Biceps femoris (short head),股二頭肌短頭,Linea aspera,Fibular head,Common fibular nerve,Deep femoral artery,"Knee flexion, ER",
Semitendinosus,半腱肌,Ischial tuberosity,Pes anserinus (tibia),Tibial sciatic nerve,Deep femoral & inferior gluteal a.,"Hip extension, knee flexion, IR",
Semimembranosus,半膜肌,Ischial tuberosity,Medial tibial condyle,Tibial sciatic nerve,Deep femoral & inferior gluteal a.,"Hip extension, knee flexion, IR",
Gastrocnemius,腓腸肌,Medial & lateral femoral condyles,Achilles → calcaneus,Tibial nerve,"Posterior tibial a., sural a.","Plantarflexion, knee flexion",
Soleus,比目魚肌,Soleal line of tibia & fibula,Achilles tendon,Tibial nerve,Posterior tibial & fibular a.,Plantarflexion,
Plantaris,蹠肌,Lateral supracondylar ridge,Achilles tendon,Tibial nerve,Popliteal artery,Weak PF & knee flexion,
Tibialis posterior,脛後肌,Tibia & fibula (posterior),"Navicular, cuneiforms, metatarsals 2–4",Tibial nerve,Posterior tibial a.,"Inversion, plantarflexion, arch support",
Flexor digitorum longus,趾長屈肌,Posterior tibia,Distal phalanges 2–5,Tibial nerve,Posterior tibial artery,"Flex toes 2–5, PF",
Flexor hallucis longus,拇趾長屈肌,Posterior fibula,Distal phalanx of hallux,Tibial nerve,Fibular artery,"Flex hallux, PF (push-off)",
Popliteus,膕肌,Lateral femoral condyle,Posterior tibia,Tibial nerve,Popliteal artery,"Unlocks knee, tibia IR",
Abductor hallucis,拇趾外展肌,Medial calcaneus,Proximal phalanx of hallux,Medial plantar nerve,Medial plantar a.,Abduct & flex hallux,
Flexor digitorum brevis,趾短屈肌,Medial calcaneus,Middle phalanges 2–5,Medial plantar nerve,Medial & lateral plantar aa.,Flex PIP 2–5,
Abductor digiti minimi,小趾外展肌,Lateral calcaneus,Proximal phalanx of 5th toe,Lateral plantar nerve,Lateral plantar artery,Abduct & flex 5th toe,
Quadratus plantae,足底方肌,Calcaneus,FDL tendon,Lateral plantar nerve,Lateral plantar artery,Straighten FDL pull,
Lumbrical 1,蚓狀肌1,FDL tendon,Extensor hood 2nd toe,Medial plantar nerve,Plantar metatarsal aa.,"Flex MTP, extend IP",
Lumbricals 2–4,蚓狀肌2–4,FDL tendon,Extensor hood 3–5,Lateral plantar nerve,Lateral plantar artery,"Flex MTP, extend IP",
Flexor hallucis brevis,拇趾短屈肌,Cuboid & cuneiform,Proximal phalanx of hallux,Medial plantar nerve,Medial plantar artery,Flex hallux,
Adductor hallucis (oblique),拇趾內收肌（斜頭）,Metatarsals 2–4,Proximal phalanx of hallux,Deep lateral plantar nerve,Deep plantar arch,Adduct hallux,
Adductor hallucis (transverse),拇趾內收肌（橫頭）,Plantar ligaments,Proximal phalanx of hallux,Deep lateral plantar nerve,Deep plantar arch,Adduct hallux,
Flexor digiti minimi brevis,小趾短屈肌,5th metatarsal,Proximal phalanx of 5th toe,Lateral plantar nerve,Lateral plantar artery,Flex 5th toe,
Plantar interossei (3),足底骨間肌（3）,Medial metatarsals 3–5,Proximal phalanges 3–5,Lateral plantar nerve,Plantar arch,Adduct toes (PAD),
Dorsal interossei (4),足背骨間肌（4）,Adjacent metatarsals,Proximal phalanges 2–4,Lateral plantar nerve,Dorsalis pedis + plantar arch,Abduct toes (DAB),
Superior gemellus,上孖肌,Ischial spine,Greater trochanter（medial surface）,Nerve to obturator internus (L5–S2),"Inferior gluteal a., internal pudendal a.",Hip external rotation、abduction（hip flexed）,
Obturator internus,閉孔內肌,Internal surface of obturator membrane & surrounding bone,Medial surface of greater trochanter,Nerve to obturator internus (L5–S2),"Internal pudendal a., obturator a.",Hip external rotation、abduction（hip flexed）,
Inferior gemellus,下孖肌,Ischial tuberosity,Greater trochanter（medial surface）,Nerve to quadratus femoris (L4–S1),Medial circumflex femoral a.,Hip external rotation、abduction（hip flexed）,
Quadratus femoris,股方肌,Lateral ischial tuberosity,Intertrochanteric crest（quadrate tubercle）,Nerve to quadratus femoris (L4–S1),Medial circumflex femoral a.,Hip external rotation,
Rectus abdominis,腹直肌,Xiphoid process; costal cartilages 5??,Intercostal nerves (T7?12),Superior & inferior epigastric arteries,Flex trunk; compress abdominal viscera,,
External oblique,腹外斜肌,External surfaces of ribs 5??2,Linea alba; iliac crest,Intercostal nerves (T7?12),Intercostal & lumbar arteries,Rotate trunk; flex trunk; compress abdomen,
Internal oblique,腹內斜肌,Thoracolumbar fascia; iliac crest,Linea alba; ribs 10??2,Intercostal nerves (T6?1),Intercostal & lumbar arteries,Rotate trunk; flex trunk; compress abdomen,
Transversus abdominis,腹橫肌,Linea alba; pubic crest,Intercostal nerves (T6?1),Inferior epigastric artery; deep circumflex iliac artery,Compress abdominal contents,,
Pronator teres,旋前圓肌,Humeral head: medial epicondyle; Ulnar head: coronoid process,Lateral surface of radius (midshaft),Median nerve,Ulnar artery & radial artery,"Forearm pronation, weak elbow flexion",
Flexor carpi radialis,橈側屈腕肌,Base of 2nd metacarpal,Median nerve,Radial artery,Wrist flexion & radial deviation,,
Palmaris longus,掌長肌,Palmar aponeurosis & flexor retinaculum,Median nerve,Ulnar artery,"Tenses palmar aponeurosis, wrist flexion",,
Flexor carpi ulnaris,尺側屈腕肌,"Pisiform, hook of hamate, 5th metacarpal",Ulnar nerve,Ulnar artery,Wrist flexion & ulnar deviation,,
Flexor digitorum superficialis,淺層指屈肌, coronoid process," radius shaft""",Middle phalanges of digits 2??,Median nerve,Ulnar artery,"Flexes PIP, MCP joints & wrist"
Flexor digitorum profundus,深層指屈肌,Distal phalanges of digits 2??,Median (lat.) & ulnar (med.) nerves,Ulnar & anterior interosseous arteries,"Flexes DIP, PIP, MCP & wrist",,
Flexor pollicis longus,拇長屈肌,Radius & interosseous membrane,Distal phalanx of thumb,Anterior interosseous nerve (median),Anterior interosseous artery,Flexes thumb IP joint,
Pronator quadratus,旋前方肌,Ulna (distal anterior),Radius (distal anterior),Anterior interosseous nerve,Anterior interosseous artery,Forearm pronation,
Brachioradialis,肱橈肌,Radial styloid process,Radial nerve,Radial recurrent artery,Elbow flexion (mid?ronation),,
Extensor carpi radialis longus,橈側伸腕長肌,Lateral supracondylar ridge,Base of 2nd metacarpal,Radial nerve,Radial artery,Wrist extension & radial deviation,
Extensor carpi radialis brevis,橈側伸腕短肌,Lateral epicondyle,Base of 3rd metacarpal,Deep branch of radial nerve,Radial artery,Wrist extension & radial deviation,
Extensor digitorum,伸指肌,Extensor expansions of digits 2??,Posterior interosseous nerve,Posterior interosseous artery,"Extends MCP, PIP, DIP of digits 2??",,
Extensor digiti minimi,伸小指肌,Lateral epicondyle,Extensor expansion of digit 5,Posterior interosseous nerve,Posterior interosseous artery,Extends digit 5,
Extensor carpi ulnaris,尺側伸腕肌,Base of 5th metacarpal,Posterior interosseous nerve,Ulnar artery,Wrist extension & ulnar deviation,,
Supinator,旋後肌," supinator crest of ulna""",Proximal radius,Posterior interosseous nerve,Radial recurrent & posterior interosseous arteries,Forearm supination,
Abductor pollicis longus,拇長外展肌, radius," interosseous membrane""",Base of 1st metacarpal,Posterior interosseous nerve,Posterior interosseous artery,Abducts thumb at CMC joint
Extensor pollicis brevis,拇短伸肌,Radius & interosseous membrane,Proximal phalanx of thumb,Posterior interosseous nerve,Posterior interosseous artery,Extends MCP of thumb,
Extensor pollicis longus,拇長伸肌,Ulna & interosseous membrane,Distal phalanx of thumb,Posterior interosseous nerve,Posterior interosseous artery,Extends IP of thumb,
Extensor indicis,食指伸肌,Ulna & interosseous membrane,Extensor expansion of index finger,Posterior interosseous nerve,Posterior interosseous artery,Extends index finger,
Trapezius,斜方肌,Skull; C7–T spines; nuchal ligament,Clavicle; acromion; scapular spine,Accessory nerve (CN XI),Superficial branch of transverse cervical artery,Scapular & upper limb movements,
Latissimus dorsi,闊背肌,Thoracolumbar fascia; T6–L5; sacrum; iliac crest; ribs 10–12,Intertubercular groove of humerus,Thoracodorsal nerve,Thoracodorsal artery,"Extension, adduction, medial rotation of arm",
Levator scapulae,提肩胛肌,C1–C4 transverse processes,Medial border of scapula,Dorsal scapular nerve,Dorsal scapular artery,Elevates scapula,
Rhomboid minor,小菱形肌,C7–T1 spinous processes,Medial border of scapula,Dorsal scapular nerve,Dorsal scapular artery,Retracts scapula,
Rhomboid major,大菱形肌,T2–T5 spinous processes,Medial border of scapula,Dorsal scapular nerve,Dorsal scapular artery,Retracts scapula,
Serratus posterior superior,上後鋸肌,C7–T3 spines; nuchal ligament,Ribs 1–4,Intercostal nerves 1–4,Superior posterior serratus artery,Assists inspiration,
Serratus posterior inferior,下後鋸肌,Thoracolumbar fascia; T11–L2 spines,Last 4 ribs,Intercostal nerves 9–12,Posterior intercostal artery,Assists expiration,
Splenius cervicis,頸夾肌,T3–T6 spinous processes,C1–C3 transverse processes,Posterior rami of spinal nerves,Transverse cervical artery,"Extend, laterally flex, rotate neck",
Splenius capitis,頭夾肌,Lower nuchal ligament; C7–T4 spines,Mastoid process; superior nuchal line,Posterior rami of spinal nerves,Transverse cervical artery,"Extend, laterally flex, rotate head",
Iliocostalis cervicis,髂肋肌-頸,Angles of ribs 3–6,Transverse processes of C4–C6,Dorsal rami of spinal nerves,Intercostal and lumbar arteries,Extends and laterally flexes vertebral column,
Iliocostalis thoracis,髂肋肌-胸,Angles of lower 6 ribs,Angles of upper 6 ribs,Dorsal rami of spinal nerves,Intercostal arteries,Extends and laterally flexes vertebral column,
Iliocostalis lumborum,髂肋肌-腰,"Iliac crest, sacrum, thoracolumbar fascia",Angles of lower ribs,Dorsal rami of spinal nerves,Lumbar arteries,Extends and laterally flexes vertebral column,
Longissimus capitis,最長肌-頭,"Transverse processes of T1–T5, articular processes of C4–C7",Mastoid process,Dorsal rami of spinal nerves,Occipital and deep cervical arteries,Extends and rotates head,
Longissimus cervicis,最長肌-頸,Transverse processes T1–T5,Transverse processes C2–C6,Dorsal rami of spinal nerves,Deep cervical artery,Extends and laterally flexes neck,
Longissimus thoracis,最長肌-胸,"Iliac crest, sacrum, lumbar vertebrae",Transverse processes of thoracic vertebrae and ribs,Dorsal rami of spinal nerves,Intercostal and lumbar arteries,Extends and laterally flexes vertebral column,
Spinalis capitis,棘肌-頭,Often blends with semispinalis capitis,Between superior and inferior nuchal lines,Dorsal rami of spinal nerves,Deep cervical artery,Extends head,
Spinalis cervicis,棘肌-頸,Spinous processes C7–T2,Spinous processes C2–C4,Dorsal rami of spinal nerves,Deep cervical artery,Extends cervical spine,
Spinalis thoracis,棘肌-胸,Spinous processes T11–L2,Spinous processes T4–T8,Dorsal rami of spinal nerves,Posterior intercostal arteries,Extends thoracic spine,
Semispinalis,半棘肌,Transverse processes (4–6 segments below),Spinous processes,Posterior rami of spinal nerves,Arteries of suboccipital muscles,Extends & stabilizes vertebral column,
Multifidus,多裂肌,Sacrum; transverse processes,Spinous processes (2–4 segments above),Posterior rami of spinal nerves,Deep lumbar artery,Stabilizes vertebral column,
Rotatores,旋轉肌,Transverse processes,Spinous processes (1–2 segments above),Posterior rami of spinal nerves,Blood vessels that supply the rotator muscles,Rotates vertebrae,
Rectus capitis posterior major,大後頭直肌,C2 spinous process,Inferior nuchal line (lateral part),Suboccipital nerve,Occipital artery,Extends & rotates head,
Rectus capitis posterior minor,小後頭直肌,C1 posterior arch,Inferior nuchal line (medial part),Suboccipital nerve,Occipital artery,Extends head,
Superior oblique of head,上頭斜肌,C1 transverse process,Occipital bone,Suboccipital nerve,Vertebral artery,Extends head,
Inferior oblique of head,下頭斜肌,C2 spine,C1 transverse process,Suboccipital nerve,Ophthalmic artery,Rotates C1/C2,
Subclavius,鎖骨下肌,1st rib and costal cartilage,inferior surface of middle third of clavicle,nerve to subclavius (C5–C6),clavicular branch of thoracoacromial artery,anchors and depresses clavicle,
Pectoralis minor,胸小肌,3rd–5th ribs near costal cartilages,coracoid process of scapula,medial pectoral nerve (C8–T1),pectoral branches of thoracoacromial artery,stabilizes scapula; draws it anteriorly and inferiorly,
Serratus anterior,前鋸肌,external surfaces of 1st–8th ribs,anterior surface of medial border of scapula,long thoracic nerve (C5–C7),lateral thoracic artery; superior thoracic artery,protracts scapula; holds it against thoracic wall; rotates scapula,
Trapezius,斜方肌,external occipital protuberance; nuchal ligament; spinous processes C7–T12,lateral third of clavicle; acromion; spine of scapula,spinal accessory nerve (CN XI); sensory from C3–C4 ventral rami,transverse cervical artery; dorsal perforating branches of posterior intercostal arteries,"elevates, retracts, and rotates scapula; lower fibers depress scapula",
Levator scapulae,提肩胛肌,posterior tubercles of transverse processes of C1–C4,medial border of scapula superior to root of spine,dorsal scapular nerve (C5); cervical nerves C3–C4,dorsal scapular artery,elevates scapula; tilts glenoid cavity inferiorly by rotating scapula,
Rhomboid minor,小菱形肌,nuchal ligament; spinous processes of C7–T1,medial border of scapula at level of spine,dorsal scapular nerve (C4–C5),dorsal scapular artery,retracts scapula; rotates it to depress glenoid cavity; fixes scapula to thoracic wall,
Rhomboid major,大菱形肌,spinous processes of T2–T5,medial border of scapula from level of spine to inferior angle,dorsal scapular nerve (C4–C5),dorsal scapular artery,retracts scapula; rotates it to depress glenoid cavity; fixes scapula to thoracic wall,
Abductor pollicis brevis,外展拇指短肌,flexor retinaculum; scaphoid; trapezium,lateral side of base of proximal phalanx of thumb,recurrent branch of median nerve (C8–T1),superficial palmar branch of radial artery,abducts thumb at carpometacarpal and metacarpophalangeal joints,
Flexor pollicis brevis,屈拇指短肌,"flexor retinaculum; trapezium (and sometimes trapezoid, capitate)",lateral side of base of proximal phalanx of thumb,recurrent branch of median nerve (superficial head); deep branch of ulnar nerve (deep head),superficial palmar branch of radial artery,flexes thumb at metacarpophalangeal joint,
Opponens pollicis,對掌拇指肌,flexor retinaculum; trapezium,lateral side of 1st metacarpal,recurrent branch of median nerve (C8–T1),superficial palmar branch of radial artery,opposes thumb by drawing 1st metacarpal medially and rotating it,
Abductor digiti minimi,外展小指肌,pisiform,medial side of base of proximal phalanx of 5th digit,deep branch of ulnar nerve (C8–T1),deep branch of ulnar artery,abducts little finger at metacarpophalangeal joint,
Flexor digiti minimi brevis,屈小指短肌,hook of hamate; flexor retinaculum,medial base of proximal phalanx of 5th digit,deep branch of ulnar nerve (C8–T1),deep branch of ulnar artery,flexes proximal phalanx of little finger at metacarpophalangeal joint,
Opponens digiti minimi,對掌小指肌,hook of hamate; flexor retinaculum,medial border of 5th metacarpal,deep branch of ulnar nerve (C8–T1),deep branch of ulnar artery,draws 5th metacarpal anteriorly and laterally rotates it to bring digit into opposition with thumb,
Adductor pollicis,內收拇指肌,"oblique head: bases of 2nd and 3rd metacarpals, capitate and adjacent bones; transverse head: anterior surface of shaft of 3rd metacarpal",medial side of base of proximal phalanx of thumb,deep branch of ulnar nerve (C8–T1),deep palmar arch,adducts thumb toward lateral border of palm,
Lumbricals 1 and 2,第一、二蟲樣肌,lateral two tendons of flexor digitorum profundus,lateral sides of extensor expansions of digits 2 and 3,median nerve (C8–T1),superficial palmar arch,flex metacarpophalangeal joints and extend interphalangeal joints of digits 2 and 3,
Lumbricals 3 and 4,第三、四蟲樣肌,medial three tendons of flexor digitorum profundus,lateral sides of extensor expansions of digits 4 and 5,deep branch of ulnar nerve (C8–T1),superficial palmar arch,flex metacarpophalangeal joints and extend interphalangeal joints of digits 4 and 5,
Dorsal interossei (1–4),背側骨間肌(一至四),adjacent sides of two metacarpals,bases of proximal phalanges; extensor expansions of digits 2–4,deep branch of ulnar nerve (C8–T1),deep palmar arch; dorsal metacarpal arteries,abduct digits 2–4 from axial line; assist lumbricals in flexing MCP and extending IP joints,
Palmar interossei (1–3),掌側骨間肌(一至三),"palmar surfaces of 2nd, 4th, and 5th metacarpals","bases of proximal phalanges; extensor expansions of digits 2, 4, and 5",deep branch of ulnar nerve (C8–T1),deep palmar arch; palmar metacarpal arteries,"adduct digits 2, 4, and 5 toward axial line; assist lumbricals in flexing MCP and extending IP joints",
Abductor pollicis longus,外展拇指長肌,posterior surfaces of ulna and radius; interosseous membrane,base of 1st metacarpal,posterior interosseous nerve (C7–C8),posterior interosseous artery,abducts thumb and extends it at carpometacarpal joint,
Extensor pollicis brevis,伸拇指短肌,posterior surface of radius; interosseous membrane,base of proximal phalanx of thumb,posterior interosseous nerve (C7–C8),posterior interosseous artery,extends proximal phalanx of thumb at metacarpophalangeal joint; extends carpometacarpal joint,
Extensor pollicis longus,伸拇指長肌,posterior surface of ulna; interosseous membrane,base of distal phalanx of thumb,posterior interosseous nerve (C7–C8),posterior interosseous artery,extends distal phalanx of thumb at interphalangeal joint; extends MCP and CMC joints,
Extensor indicis,伸食指肌,posterior surface of distal third of ulna; interosseous membrane,extensor expansion of 2nd digit,posterior interosseous nerve (C7–C8),posterior interosseous artery,extends 2nd digit; helps extend hand at wrist,
Supinator,旋後肌,lateral epicondyle of humerus; radial collateral and annular ligaments; supinator fossa and crest of ulna,"lateral, posterior, and anterior surfaces of proximal third of radius",deep branch of radial nerve (C6–C7),radial recurrent artery; posterior interosseous artery,supinates forearm; rotates radius to turn palm anteriorly,
